latitude,longitude,course_count,course_list
43,-83.3,6,
43.05,-83.3,1,
42,-83.25,9,
42.05,-83.25,10,
42.1,-83.25,14,
42.15,-83.25,18,
42.2,-83.25,22,
42.25,-83.25,27,
42.3,-83.25,33,
42.35,-83.25,42,
42.4,-83.25,51,
42.45,-83.25,56,
42.5,-83.25,60,
42.55,-83.25,62,
42.6,-83.25,65,
42.65,-83.25,63,
42.7,-83.25,55,
42.75,-83.25,46,
42.8,-83.25,38,
42.85,-83.25,25,
42.9,-83.25,19,
42.95,-83.25,11,
43,-83.25,6,
43.05,-83.25,2,
42,-83.2,8,
42.05,-83.2,10,
42.1,-83.2,13,
42.15,-83.2,17,
42.2,-83.2,20,
42.25,-83.2,24,
42.3,-83.2,30,
42.35,-83.2,40,
42.4,-83.2,47,
42.45,-83.2,53,
42.5,-83.2,57,
42.55,-83.2,56,
42.6,-83.2,61,
42.65,-83.2,61,
42.7,-83.2,58,
42.75,-83.2,43,
42.8,-83.2,34,
42.85,-83.2,24,
42.9,-83.2,20,
42.95,-83.2,12,
43,-83.2,6,
43.05,-83.2,1,
42,-83.15,8,
42.05,-83.15,9,
42.1,-83.15,11,
42.15,-83.15,16,
42.2,-83.15,18,
42.25,-83.15,23,
42.3,-83.15,28,
42.35,-83.15,36,
42.4,-83.15,44,
42.45,-83.15,51,
42.5,-83.15,53,
42.55,-83.15,53,
42.6,-83.15,59,
42.65,-83.15,62,
42.7,-83.15,57,
42.75,-83.15,41,
42.8,-83.15,31,
42.85,-83.15,23,
42.9,-83.15,19,
42.95,-83.15,14,
43,-83.15,5,
43.05,-83.15,1,
42,-83.1,7,
42.05,-83.1,9,
42.1,-83.1,10,
42.15,-83.1,13,
42.2,-83.1,18,
42.25,-83.1,22,
42.3,-83.1,28,
42.35,-83.1,30,
42.4,-83.1,36,
42.45,-83.1,39,
42.5,-83.1,46,
42.55,-83.1,54,
42.6,-83.1,54,
42.65,-83.1,56,
42.7,-83.1,55,
42.75,-83.1,43,
42.8,-83.1,31,
42.85,-83.1,23,
42.9,-83.1,17,
42.95,-83.1,13,
43,-83.1,5,
43.05,-83.1,1,
42,-83.05,6,
42.05,-83.05,7,
42.1,-83.05,8,
42.15,-83.05,10,
42.2,-83.05,13,
42.25,-83.05,18,
42.3,-83.05,22,
42.35,-83.05,24,
42.4,-83.05,28,
42.45,-83.05,35,
42.5,-83.05,45,
42.55,-83.05,49,
42.6,-83.05,52,
42.65,-83.05,49,
42.7,-83.05,49,
42.75,-83.05,39,
42.8,-83.05,29,
42.85,-83.05,20,
42.9,-83.05,16,
42.95,-83.05,12,
43,-83.05,4,
43.05,-83.05,1,
42,-83,4,
42.05,-83,6,
42.1,-83,6,
42.15,-83,7,
42.2,-83,10,
42.25,-83,15,
42.3,-83,16,
42.35,-83,17,
42.4,-83,22,
42.45,-83,27,
42.5,-83,36,
42.55,-83,40,
42.6,-83,47,
42.65,-83,42,
42.7,-83,41,
42.75,-83,36,
42.8,-83,28,
42.85,-83,22,
42.9,-83,15,
42.95,-83,9,
43,-83,4,
43.05,-83,1,
42,-82.95,4,
42.05,-82.95,5,
42.1,-82.95,6,
42.15,-82.95,6,
42.2,-82.95,8,
42.25,-82.95,10,
42.3,-82.95,7,
42.35,-82.95,12,
42.4,-82.95,16,
42.45,-82.95,23,
42.5,-82.95,28,
42.55,-82.95,34,
42.6,-82.95,39,
42.65,-82.95,37,
42.7,-82.95,33,
42.75,-82.95,32,
42.8,-82.95,24,
42.85,-82.95,20,
42.9,-82.95,12,
42.95,-82.95,6,
43,-82.95,3,
43.05,-82.95,1,
42,-82.9,0,
42.05,-82.9,2,
42.1,-82.9,4,
42.15,-82.9,4,
42.2,-82.9,7,
42.25,-82.9,5,
42.3,-82.9,6,
42.35,-82.9,7,
42.4,-82.9,15,
42.45,-82.9,19,
42.5,-82.9,25,
42.55,-82.9,28,
42.6,-82.9,29,
42.65,-82.9,29,
42.7,-82.9,29,
42.75,-82.9,28,
42.8,-82.9,23,
42.85,-82.9,19,
42.9,-82.9,9,
42.95,-82.9,4,
43,-82.9,3,
43.05,-82.9,0,
42,-82.85,0,
42.05,-82.85,0,
42.1,-82.85,0,
42.15,-82.85,0,
42.2,-82.85,1,
42.25,-82.85,4,
42.3,-82.85,4,
42.35,-82.85,5,
42.4,-82.85,12,
42.45,-82.85,16,
42.5,-82.85,19,
42.55,-82.85,22,
42.6,-82.85,23,
42.65,-82.85,23,
